ID;Rooms;Address;Min_to_metro;Total_size_sq_m;Rooms_sq_m;By_room_sq_m;Kitchen_sq_m;Floor;Total_floors;Condition;Bathroom;Balcony;Windows;House;House_name;Price;Sq_m_price;Phone;Link;Room_k;House_k;Floor_k
223447085;3;Санкт-Петербург, проспект Науки, 4К1;8;56;38;18.5-10.9-8.9;6;3;9;100;Раздельный;Лоджия (1);На улицу и двор;Панельный;n/a;5900000;105357;+79119603528;https://www.cian.ru/sale/flat/223447085;85;83;100
224269955;2;Санкт-Петербург, проспект Науки, 10К2;4;45;28;n/a;7;1;9;100;n/a;n/a;Во двор;Панельный;n/a;4650000;103333;+79030951232;https://www.cian.ru/sale/flat/224269955;90;83;92
217178352;2;Санкт-Петербург, Гжатская улица, 22к3;10;53;27;15.8+11.4;9;12;18;110;Раздельный;Балкон (1);На улицу и двор;Монолитный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2011;7981000;150585;+79111902027;https://www.cian.ru/sale/flat/217178352;90;100;110
224455613;2;Санкт-Петербург, проспект Науки, 17к2;5;64;35;18+16.5;12;4;24;110;Раздельный;Балкон (1);На улицу и двор;Монолитно-кирпичный;n/a;9550000;149219;+79112706255;https://www.cian.ru/sale/flat/224455613;90;100;100
224568106;2;Санкт-Петербург, проспект Науки, 14К2;2;44;29;10+18.8;5;4;5;100;n/a;Лоджия (1);На улицу;Панельный;n/a;4800000;109091;+79111502295;https://www.cian.ru/sale/flat/224568106;90;83;100
219511337;3;Санкт-Петербург, проспект Науки, 8к3;5;68;45;18+(15+12);13;1;11;110;Раздельный;n/a;Во двор;Монолитный;n/a;9200000;135294;+79811809102;https://www.cian.ru/sale/flat/219511337;85;100;92
224168286;1;Санкт-Петербург, улица Верности, 7К2;5;43;19;n/a;10;8;10;110;n/a;n/a;n/a;Кирпичный;n/a;5700000;132558;+79110903395;https://www.cian.ru/sale/flat/224168286;100;83;100
224210352;3;Санкт-Петербург, Гжатская улица, 22к1;5;85;50;17.6-17.1-16;10;4;19;116;n/a;n/a;n/a;Монолитный;Орбита, Корпус - Орбита, корпус 3;13500000;158824;+79117004964;https://www.cian.ru/sale/flat/224210352;85;100;100
223684405;3;Санкт-Петербург, Гжатская улица, 22к3;5;97;47;19.1-17.6-11.4;25;18;22;116;n/a;n/a;n/a;Монолитный;Орбита, Корпус - Орбита, корпус 1;15000000;154639;+79110203458;https://www.cian.ru/sale/flat/223684405;85;100;115
222286281;3;Санкт-Петербург, Гражданский проспект, 77к1;7;85;52;17,4-15,9-18,2;14;4;10;100;Раздельный;Лоджия (1);Во двор;Панельный;n/a;10500000;123529;+79817710727;https://www.cian.ru/sale/flat/222286281;85;83;100
224278712;1;Санкт-Петербург, улица Софьи Ковалевской, 10К3;10;30;16;16.00;7;1;5;100;Раздельный;n/a;Во двор;Панельный;n/a;3495000;116500;+79811901673;https://www.cian.ru/sale/flat/224278712;100;83;92
222841832;1;Санкт-Петербург, улица Софьи Ковалевской, 10К3;10;30;16;16;7;1;5;95;Раздельный;n/a;n/a;Панельный;n/a;3490000;116333;+79110806678;https://www.cian.ru/sale/flat/222841832;100;83;92
224350583;1;Санкт-Петербург, улица Софьи Ковалевской, 10К3;11;30;16;16.00;7;1;5;100;Раздельный;Балкон (1);n/a;Блочный;n/a;3539000;117967;+79817719858;https://www.cian.ru/sale/flat/224350583;100;83;92
224635845;1;Санкт-Петербург, улица Софьи Ковалевской, 10К3;11;30;16;16;7;1;5;100;Раздельный;n/a;Во двор;Панельный;n/a;3500000;116667;+79117209347;https://www.cian.ru/sale/flat/224635845;100;83;92
224225258;1;Санкт-Петербург, улица Софьи Ковалевской, 10К3;10;30;18;18;7;1;5;100;Раздельный;n/a;n/a;Панельный;n/a;3500000;116667;+79811402418;https://www.cian.ru/sale/flat/224225258;100;83;92
224635785;1;Санкт-Петербург, Гражданский проспект, 83К1;13;31;15;14,8;8;2;9;100;Раздельный;n/a;На улицу;Панельный;n/a;3650000;117742;+79811514572;https://www.cian.ru/sale/flat/224635785;100;83;100
221576836;1;Санкт-Петербург, Гражданский проспект, 83К1;5;30;15;14.8;8;2;9;100;Раздельный;n/a;На улицу;Панельный;n/a;3650000;121667;+79110203907;https://www.cian.ru/sale/flat/221576836;100;83;100
222031611;1;Санкт-Петербург, Гражданский проспект, 83К1;5;30;15;14.80;8;2;9;95;Раздельный;n/a;n/a;Панельный;n/a;3700000;123333;+79117004383;https://www.cian.ru/sale/flat/222031611;100;83;100
