Year,Period,Date,Foreign_tourists
2014,январь-июнь,2014-06-30,10748508
2014,январь-сентябрь,2014-09-30,19141220
2014,январь-декабрь,2014-12-31,25437893
2015,январь-март,2015-03-31,4909576
2015,январь-июнь,2015-06-30,11891356
2015,январь-сентябрь,2015-09-30,20671634
2015,январь-декабрь,2015-12-31,26851658
2016,январь-март,2016-03-31,4495072
2016,январь-июнь,2016-06-30,11281591
2016,январь-сентябрь,2016-09-30,19525129
2016,январь-декабрь,2016-12-31,24570518
2017,январь-март,2017-03-31,4379808
2017,январь-июнь,2017-06-30,10946937
2017,январь-сентябрь,2017-09-30,18972316
2017,январь-декабрь,2017-12-31,24390002
2018,январь-март,2018-03-31,4309574
2018,январь-июнь,2018-06-30,10920638
2018,январь-сентябрь,2018-09-30,19245204
2018,январь-декабрь,2018-12-31,24550910
2019,январь-март,2019-03-31,4277400
2019,январь-июнь,2019-06-30,10734179
2019,январь-сентябрь,2019-09-30,19064394
